source_db,source_dataset,organism,is_cell_line,cell_line_name,perturbation_type,treatment,disease,n_cells_approx,n_perturbations,sequencing_platform,library_prep,modality,accession,data_url,publication,notes
scPerturb v1.4,GehringPachter2019,Homo sapiens,True,Jurkat / Ramos,small_molecule,Anti-CD3 + anti-CD28 stimulation; drug combinations,T-cell leukemia / B-cell lymphoma,15000.0,4.0,10x Chromium,96-plex scRNA-seq (oligo barcodes),scRNA-seq,GSE132080,https://zenodo.org/records/13350497,Gehring & Pachter 2019 (10.1038/s41592-019-0551-3),
scPerturb v1.4,McFarlandTsherniak2020,Homo sapiens,True,24 cancer cell lines (pooled),small_molecule,26 FDA-approved drugs; CRISPR-Cas9 (co-treatment),"Breast, lung, colorectal, haematological cancers",150000.0,18.0,10x Chromium,MIX-seq (pooled scRNA-seq),scRNA-seq,GSE150647,https://zenodo.org/records/13350497,McFarland & Tsherniak 2020 (10.1038/s41467-020-17440-w),Multiplexed cell line panel; MOA deconvolution
scPerturb v1.4,LotfollahiTheis2023,Homo sapiens,True,CD34+ HSPCs / PBMCs,small_molecule,"Thapsigargin, IFN-α2A, IFN-γ, LPS (cytokine + stress)",Haematological context,80000.0,10.0,10x Chromium,3' gene expression v3,scRNA-seq,GSE157010,https://zenodo.org/records/13350497,Lotfollahi & Theis 2023 (10.1038/s41592-021-01341-y),scGen training/benchmark dataset
scPerturb v1.4,SchiebingerLander2019_iPSC,Mus musculus,True,Mouse embryonic fibroblasts → iPSC,CRISPR,Yamanaka factors (OSKM) – reprogramming,Normal / reprogramming,300000.0,20.0,10x Chromium,3' gene expression,scRNA-seq,GSE106340,https://zenodo.org/records/13350497,Schiebinger & Lander 2019 (10.1016/j.cell.2019.01.006),Waddington OT trajectory reconstruction
scPerturb v1.4,WeinrebKlein2020,Mus musculus,False,,genetic,Hematopoietic differentiation (lineage tracing + cytokines),Normal haematopoiesis,130000.0,10.0,10x Chromium,3' gene expression + LARRY barcodes,scRNA-seq,GSE140802,https://zenodo.org/records/13350497,Weinreb & Klein 2020 (10.1126/science.aaw3381),LARRY lineage tracing
scPerturb v1.4,LiangWang2023,Homo sapiens,True,HEK293T / K562,CRISPR,Essential genes (CRISPRi),Normal / CML,200000.0,500.0,10x Chromium,Perturb-seq,scRNA-seq,GSE215467,https://zenodo.org/records/13350497,Liang & Wang 2023,
scPerturb v1.4,SunshineHein2023,Homo sapiens,True,A375 (melanoma),small_molecule,Vemurafenib + MEK inhibitors (BRAF/MEK targeted therapy),Melanoma,400000.0,50.0,10x Chromium,3' gene expression,scRNA-seq,GSE213029,https://zenodo.org/records/13350497,Sunshine & Hein 2023,Drug response heterogeneity
scPerturb v1.4,XuCao2023,Homo sapiens,True,Multiple cancer cell lines,small_molecule,Multiple FDA-approved drugs,Various cancers,200000.0,200.0,Combinatorial indexing,sci-Plex-style,scRNA-seq,GSE222880,https://zenodo.org/records/13350497,Xu & Cao 2023,
scPerturb v1.4,ZhaoSims2021,Homo sapiens,True,Primary T cells,small_molecule,CTLA4/PD1 stimulation + immune checkpoint inhibitors,Cancer immunotherapy,300000.0,50.0,10x Chromium,5' gene expression + V(D)J,scRNA-seq,GSE182568,https://zenodo.org/records/13350497,Zhao & Sims 2021,
scPerturb v1.4,XieHon2017,Mus musculus,True,mESC (embryonic stem cells),CRISPR,Chromatin regulators (CRISPRi),Normal / pluripotency,35000.0,50.0,Drop-seq,Drop-seq,scRNA-seq,GSE99866,https://zenodo.org/records/13350497,Xie & Hon 2017 (10.1016/j.molcel.2017.03.025),
scPerturb v1.4,JoungZhang2023_combinatorial,Homo sapiens,True,K562,CRISPR,Combinatorial TF perturbations (CRISPRa),Chronic myelogenous leukemia,800000.0,1000.0,10x Chromium,Perturb-seq,scRNA-seq,GSE217460,https://zenodo.org/records/13350497,Joung & Zhang 2023 (10.1038/s41586-022-05546-2),
Tahoe-100M,Tahoe-100M_A549,Homo sapiens,True,A549,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Non-small cell lung cancer,,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Lung. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_H1299,Homo sapiens,True,H1299,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Non-small cell lung cancer,,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Lung. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_H460,Homo sapiens,True,H460,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Non-small cell lung cancer,,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Lung. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_MCF7,Homo sapiens,True,MCF7,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Breast cancer (ER+),,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Breast. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_MDA-MB-231,Homo sapiens,True,MDA-MB-231,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Triple-negative breast cancer,,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Breast. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_T47D,Homo sapiens,True,T47D,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Breast cancer (PR+/ER+),,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Breast. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_HCT116,Homo sapiens,True,HCT116,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Colorectal cancer,,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Colon. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_SW620,Homo sapiens,True,SW620,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Colorectal cancer (metastatic),,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Colon. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_HepG2,Homo sapiens,True,HepG2,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Hepatocellular carcinoma,,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Liver. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_LNCaP,Homo sapiens,True,LNCaP,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Prostate cancer (androgen sens.),,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Prostate. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_PC3,Homo sapiens,True,PC3,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Prostate cancer (androgen insens.),,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Prostate. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_K562,Homo sapiens,True,K562,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",Chronic myelogenous leukemia,,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Blood. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
Tahoe-100M,Tahoe-100M_Jurkat,Homo sapiens,True,Jurkat,small_molecule,"Kinase inhibitors (RTK, CDK, MAPK, PI3K, JAK), HDAC inhibitors, BET bromodomain inhibitors, DNA damage agents (topoisomerase inhibitors, alkylating agents), Proteasome inhibitors, MDM2 inhibitors, Hormone pathway (AR antagonists, ER modulators), Immunomodulators, Anti-metabolites, Cell-cycle regulators, Apoptosis modulators (BCL-2 family), Epigenetic drugs (DNMT inhibitors), Natural products",T-cell leukemia,,1500.0,10x Genomics Chromium FLEX (fixed RNA profiling),10x Genomics Chromium FLEX (GEM-X chemistry); fixed cells multiplexed,scRNA-seq,10.1038/s41587-025-02672-y,https://lamin.ai/laminlabs/pertdata,"insitro / Tahoe-100M consortium 2025 (Nature Biotechnology, 10.1038/s41587-025-02672-y)",Tissue: Blood. Multiple doses (3–4 concentrations) and time points (24–48 h). DMSO vehicle control included. Public access via AWS S3: s3://tahoe-100m/ and laminlabs/pertdata.
